Nom;Ensemble - 0 à 19 ans;Ensemble - 20 à 39 ans;Ensemble - 40 à 59 ans;Ensemble - 60 à 74 ans;Ensemble - 75 ans et plus;Ensemble - Total;Hommes - 0 à 19 ans;Hommes - 20 à 39 ans;Hommes - 40 à 59 ans;Hommes - 60 à 74 ans;Hommes - 75 ans et plus;Hommes - Total;Femmes - 0 à 19 ans;Femmes - 20 à 39 ans;Femmes - 40 à 59 ans;Femmes - 60 à 74 ans;Femmes - 75 ans et plus;Total
Auvergne-Rhône-Alpes;1 940 253;1 900 702;2 079 813;1 340 003;771 606;8 032 377;992 993;944 356;1 029 954;632 064;302 291;3 901 658;947 260;956 346;1 049 859;707 939;469 315;4 130 719
Bourgogne-Franche-Comté;627 017;591 411;715 664;540 051;308 896;2 783 039;322 682;297 661;353 352;258 221;121 215;1 353 131;304 335;293 750;362 312;281 830;187 681;1 429 908
Bretagne;773 631;714 512;866 988;632 104;353 144;3 340 379;397 098;360 870;431 191;299 492;132 842;1 621 493;376 533;353 642;435 797;332 612;220 302;1 718 886
Centre-Val de Loire;598 570;541 141;661 150;478 923;279 289;2 559 073;305 871;268 545;326 769;227 544;110 179;1 238 908;292 699;272 596;334 381;251 379;169 110;1 320 165
Corse;68 555;76 985;93 175;65 675;40 289;344 679;35 565;37 159;45 561;31 555;17 094;166 934;32 990;39 826;47 614;34 120;23 195;177 745
Grand Est;1 258 123;1 291 962;1 448 828;988 178;524 656;5 511 747;646 343;647 720;717 730;470 378;202 831;2 685 002;611 780;644 242;731 098;517 800;321 825;2 826 745
Hauts-de-France;1 525 538;1 443 348;1 522 690;994 313;476 773;5 962 662;780 431;718 559;753 243;463 479;174 071;2 889 783;745 107;724 789;769 447;530 834;302 702;3 072 879
Île-de-France;3 140 965;3 409 765;3 210 447;1 658 207;858 826;12 278 210;1 596 438;1 645 260;1 571 272;768 845;334 255;5 916 070;1 544 527;1 764 505;1 639 175;889 362;524 571;6 362 140
Normandie;781 337;727 044;842 963;615 474;336 682;3 303 500;400 477;361 494;415 565;290 350;127 013;1 594 899;380 860;365 550;427 398;325 124;209 669;1 708 601
Nouvelle-Aquitaine;1 293 321;1 274 746;1 561 754;1 177 229;692 932;5 999 982;663 076;631 851;763 651;555 423;272 443;2 886 444;630 245;642 895;798 103;621 806;420 489;3 113 538
Occitanie;1 320 456;1 330 125;1 526 711;1 099 893;647 673;5 924 858;675 558;657 157;747 562;520 130;258 673;2 859 080;644 898;672 968;779 149;579 763;389 000;3 065 778
Pays de la Loire;933 509;853 729;970 508;667 531;376 520;3 801 797;479 097;425 515;482 534;316 401;145 929;1 849 476;454 412;428 214;487 974;351 130;230 591;1 952 321
Provence-Alpes-Côte d'Azur;1 128 765;1 109 058;1 309 879;927 347;580 602;5 055 651;579 180;543 950;631 216;430 884;230 748;2 415 978;549 585;565 108;678 663;496 463;349 854;2 639 673
France métropolitaine;15 390 040;15 264 528;16 810 570;11 184 928;6 247 888;64 897 954;7 874 809;7 540 097;8 269 600;5 264 766;2 429 584;31 378 856;7 515 231;7 724 431;8 540 970;5 920 162;3 818 304;33 519 098
Guadeloupe ;90 617;71 707;109 452;70 936;34 167;376 879;45 644;31 511;47 536;32 943;13 581;171 215;44 973;40 196;61 916;37 993;20 586;205 664
Martinique ;77 005;65 776;105 638;72 163;38 167;358 749;38 714;29 934;46 558;33 534;15 422;164 162;38 291;35 842;59 080;38 629;22 745;194 587
Guyane;120 681;80 023;61 783;22 111;6 093;290 691;60 188;37 289;30 150;11 016;2 501;141 144;60 493;42 734;31 633;11 095;3 592;149 547
La Réunion;256 143;202 783;239 212;117 045;44 776;859 959;129 764;92 936;112 966;55 474;17 453;408 593;126 379;109 847;126 246;61 571;27 323;451 366
Mayotte;150 257;74 348;42 900;9 521;2 445;279 471;74 305;31 227;21 536;4 971;1 170;133 209;75 952;43 121;21 364;4 550;1 275;146 262
DOM;694 703;494 637;558 985;291 776;125 648;2 165 749;348 615;222 897;258 746;137 938;50 127;1 018 323;346 088;271 740;300 239;153 838;75 521;1 147 426
France métropolitaine et DOM;16 084 743;15 759 165;17 369 555;11 476 704;6 373 536;67 063 703;8 223 424;7 762 994;8 528 346;5 402 704;2 479 711;32 397 179;7 861 319;7 996 171;8 841 209;6 074 000;3 893 825;34 666 524
